,Código pai,Código,Descrição,Unidade,Coeficiente,Preço,Total
95,C1808,I0235,BLOCO DE CONCRETO ARTICULADO 15X28X30CM,UN,24,4.33,103.92
96,C1808,I0280,BRITA,M3,0.104,76.19,7.92376
97,C1808,I0805,CIMENTO PORTLAND,KG,15,0.56,8.4
98,C1821,C1821,"NIPLE DUPLO AÇO GALV. D=65mm (2 1/2"")", UN,,,
99,C1821,I0043,AJUDANTE DE ENCANADOR,H,0.4,18.63,7.452000000000001
100,C1821,I2320,ENCANADOR,H,0.4,22.72,9.088000000000001
101,C1821,I1541,NIPLE DUPLO AÇO GALVANIZADO 2 1/2'',UN,1,40.59,40.59
102,C1822,C1822,"NIPLE DUPLO DE REDUÇÃO AÇO GALV. D=20X15mm (3/4""X1/2"")", UN,,,
103,C1822,I0043,AJUDANTE DE ENCANADOR,H,0.2,18.63,3.7260000000000004
104,C1822,I2320,ENCANADOR,H,0.2,22.72,4.5440000000000005
105,C1822,I1545,NIPLE DUPLO REDUCÃO GALV 3/4X1/2'',UN,1,6.77,6.77
106,C1823,C1823,"NIPLE DUPLO DE REDUÇÃO AÇO GALV. D=32X15mm (1 1/4""X1/2"")", UN,,,
107,C1823,I0043,AJUDANTE DE ENCANADOR,H,0.35,18.63,6.520499999999999
108,C1823,I2320,ENCANADOR,H,0.35,22.72,7.951999999999999
109,C1823,I1543,NIPLE DUPLO REDUCÃO GALV 1 1/4X1/2'',UN,1,18.12,18.12
110,C1824,C1824,"NIPLE DUPLO REDUÇÃO AÇO GALV. D=32X15mm (1 1/4""X1/2"")  À  50X40mm (2""X1 1/2"")", UN,,,
111,C1824,I0043,AJUDANTE DE ENCANADOR,H,0.35,18.63,6.520499999999999
112,C1824,I2320,ENCANADOR,H,0.35,22.72,7.951999999999999
113,C1824,I1543,NIPLE DUPLO REDUCÃO GALV 1 1/4X1/2'',UN,1,18.12,18.12
114,C1825,C1825,"NIPLE DUPLO DE REDUÇÃO AÇO GALV. D=65X32mm(2 1/2""X1 1/4"")  À  80X65mm(3""X2 1/2"")", UN,,,
115,C1825,I0043,AJUDANTE DE ENCANADOR,H,0.4,18.63,7.452000000000001
116,C1825,I2320,ENCANADOR,H,0.4,22.72,9.088000000000001
117,C1825,I1544,NIPLE DUPLO REDUCÃO GALV 2 1/2X1 1/4'',UN,1,50.15,50.15
118,C1826,C1826,"NIPLE DUPLO DE REDUÇÃO AÇO GALV. D=20X15mm (3/4""X1/2"")  À  25X20mm (1""X3/4"")", UN,,,
119,C1826,I0043,AJUDANTE DE ENCANADOR,H,0.2,18.63,3.7260000000000004
120,C1826,I2320,ENCANADOR,H,0.2,22.72,4.5440000000000005
121,C1826,I1545,NIPLE DUPLO REDUCÃO GALV 3/4X1/2'',UN,1,6.77,6.77
122,C1827,C1827,"NIPLE EM PVC C/ ROSCA DE 1 1/4""", UN,,,
123,C1827,I0043,AJUDANTE DE ENCANADOR,H,0.25,18.63,4.6575
124,C1827,I2320,ENCANADOR,H,0.25,22.72,5.68
125,C1827,I1547,NIPLE PVC COM ROSCA DE 1 1/4'',UN,1,4.86,4.86
126,C1829,C1829,OURIÇO P/ MURALHA DE PRESÍDIO, M,,,
127,C1829,I0046,AJUDANTE DE SERRALHEIRO,H,0.8,18.63,14.904000000000002
128,C1829,I1858,SERRALHEIRO,H,1.2,23.17,27.804
129,C1829,I0101,ARAME GALVANIZADO N.16 BWG,KG,0.85,20.71,17.6035
130,C1829,I0191,"FERRO CHATO 2"" x 3/8"" (3,80KG/M)",KG,1.5,8.41,12.615
131,C1829,I0791,CHUMBADOR DE 3/8'',UN,3,1.83,5.49
132,C1829,I1872,SOLDA 50X50,KG,0.08,82.73,6.6184
133,C1828,C1828,"NIPLE EM PVC C/ ROSCA DE 2 1/2""", UN,,,
134,C1828,I0043,AJUDANTE DE ENCANADOR,H,0.25,18.63,4.6575
135,C1828,I2320,ENCANADOR,H,0.25,22.72,5.68
136,C1828,I1548,NIPLE PVC COM ROSCA DE 2 1/2'',UN,1,14.13,14.13
137,C1811,C1811,"MURO DE ARRIMO C/GABIÃO, ALTURA 4m", M,,,
138,C1811,I0765,RETRO ESCAVADEIRA DE PNEUS (CHP),H,1.63,107.25643969852942,174.82799670860294
139,C1811,I2543,SERVENTE,H,17.4,17.14,298.236
140,C1811,I1213,GABIÃO COM MALHA HEXAGONAL 8X10CM - ZINCADO,M3,6.5,337.67,2194.855
141,C1811,I1600,PEDRA DE MÃO (RACHÃO),M3,7.8,66.06,515.268
142,C1810,C1810,"MURO DE ARRIMO C/GABIÃO, ALTURA 2m", M,,,
143,C1810,I0765,RETRO ESCAVADEIRA DE PNEUS (CHP),H,0.63,107.25643969852942,67.57155701007353
144,C1810,I2543,SERVENTE,H,6.7,17.14,114.83800000000001
145,C1810,I0104,"ARAME ZINCADO DE 2,7MM AMARRAÇÃO DE GABIÕES",KG,2,21.12,42.24
146,C1810,I1213,GABIÃO COM MALHA HEXAGONAL 8X10CM - ZINCADO,M3,2.5,337.67,844.175
147,C1810,I1600,PEDRA DE MÃO (RACHÃO),M3,3,66.06,198.18
148,C1815,C1815,"NIPLE DUPLO DE REDUÇÃO AÇO GALV. D=80X50mm (3""X2"")  À  80X65mm (3""X2 1/2"")", UN,,,
149,C1815,I0043,AJUDANTE DE ENCANADOR,H,0.4,18.63,7.452000000000001
150,C1815,I2320,ENCANADOR,H,0.4,22.72,9.088000000000001
151,C1815,I1546,NIPLE DUPLO REDUCÃO GALV 3X2'',UN,1,90.69,90.69
152,C1816,C1816,"NIPLE DUPLO AÇO GALV. D=100mm (4"")", UN,,,
153,C1816,I0043,AJUDANTE DE ENCANADOR,H,0.5,18.63,9.315
154,C1816,I2320,ENCANADOR,H,0.5,22.72,11.36
155,C1816,I1542,NIPLE DUPLO AÇO GALVANIZADO 4'',UN,1,106.32,106.32
156,C1814,C1814,NEOPRENE P/ JUNTAS DE DILATAÇÃO, M,,,
157,C1814,I2391,PEDREIRO,H,0.6,23.17,13.902
158,C1814,I2543,SERVENTE,H,0.4,17.14,6.856000000000001
159,C1814,I1538,NEOPRENE P/ JUNTAS DE DILATAÇÃO,M,1,31.26,31.26
160,C1819,C1819,"NIPLE DUPLO AÇO GALV. D=65mm (2 1/2"")  À 80mm (3"")", UN,,,
161,C1819,I0043,AJUDANTE DE ENCANADOR,H,0.4,18.63,7.452000000000001
162,C1819,I2320,ENCANADOR,H,0.4,22.72,9.088000000000001
163,C1819,I1541,NIPLE DUPLO AÇO GALVANIZADO 2 1/2'',UN,1,40.59,40.59
164,C1818,C1818,"NIPLE DUPLO AÇO GALV. D=32mm  (1 1/4"")  À 50mm (2"")", UN,,,
165,C1818,I0043,AJUDANTE DE ENCANADOR,H,0.35,18.63,6.520499999999999
166,C1818,I2320,ENCANADOR,H,0.35,22.72,7.951999999999999
167,C1818,I1539,NIPLE DUPLO AÇO GALVANIZADO 1 1/4'',UN,1,12.84,12.84
168,C1817,C1817,"NIPLE DUPLO AÇO GALV. D=15mm (1/2"")  À 25mm (1"")", UN,,,
169,C1817,I0043,AJUDANTE DE ENCANADOR,H,0.2,18.63,3.7260000000000004
170,C1817,I2320,ENCANADOR,H,0.2,22.72,4.5440000000000005
171,C1817,I1540,"NIPLE DUPLO AÇO GALVANIZADO   1/2""",UN,1,4.26,4.26
172,C1841,C1841,PAINEL PROTENDIDO P/PISOS/PAREDES DE VEDAÇÃO ESP.=25cm, M2,,,
173,C1841,I0682,BETONEIRA ELÉTRICA 580L (CHP),H,0.0072,24.420759936,0.1758294715392
174,C1841,I0743,GUINDASTE DE TORRE HP 11 (CHP),H,0.036,59.850208380000005,2.1546075016799997
175,C1841,I2391,PEDREIRO,H,0.17,23.17,3.9389000000000003
176,C1841,I2543,SERVENTE,H,0.13,17.14,2.2282
177,C1841,I0109,AREIA MEDIA,M3,0.0078,67.5,0.5265
178,C1841,I0805,CIMENTO PORTLAND,KG,3,0.56,1.68
179,C1841,I1555,PAINEL DE CONCRETO PROTENDIDO 20CM,M2,1.01,243.65,246.0865
180,C1841,I1605,PEDRISCO,M3,0.0075,73.9,0.55425
181,C1841,I6802,ADITIVO SUPERPLASTIFICANTE DENSIFICADOR E RETARDADOR DE PEGA,KG,0.041,11.33,0.46453
182,C1840,C1840,PAINEL PROTENDIDO P/PISOS/PAREDES DE VEDAÇÃO ESP.=20cm, M2,,,
183,C1840,I0682,BETONEIRA ELÉTRICA 580L (CHP),H,0.0042,24.420759936,0.10256719173119999
184,C1840,I0743,GUINDASTE DE TORRE HP 11 (CHP),H,0.022,59.850208380000005,1.31670458436
185,C1840,I2391,PEDREIRO,H,0.01,23.17,0.23170000000000002
186,C1840,I2543,SERVENTE,H,0.07,17.14,1.1998000000000002
187,C1840,I0109,AREIA MEDIA,M3,0.0043,67.5,0.29025
188,C1840,I0805,CIMENTO PORTLAND,KG,2,0.56,1.12
189,C1840,I1555,PAINEL DE CONCRETO PROTENDIDO 20CM,M2,1.01,243.65,246.0865
190,C1840,I1605,PEDRISCO,M3,0.0042,73.9,0.31038
191,C1840,I6802,ADITIVO SUPERPLASTIFICANTE DENSIFICADOR E RETARDADOR DE PEGA,KG,0.024,11.33,0.27192
192,C1847,C1847,"PISO DE CONCRETO FCK=13,5MPa ESP=7 cm, INCL. PREPARO DE CAIXA", M2,,,
193,C1847,I0682,BETONEIRA ELÉTRICA 580L (CHP),H,0.05,24.420759936,1.2210379968
194,C1847,I2391,PEDREIRO,H,1.2,23.17,27.804
195,C1847,I2543,SERVENTE,H,1.62,17.14,27.766800000000003
196,C1847,I0109,AREIA MEDIA,M3,0.0646,67.5,4.3605
197,C1847,I0280,BRITA,M3,0.0585,76.19,4.457115
198,C1847,I0805,CIMENTO PORTLAND,KG,20,0.56,11.2
199,C1847,I1825,RIPA DE PEROBA (MADEIRA DE 1A QUALIDADE) DE 1X7CM,M,2,2.22,4.44
200,C1846,C1846,PARQUETES DE MADEIRA FIXADOS C/COLA A BASE DE PVA, M2,,,
201,C1846,I1940,TAQUEIRO,H,0.5,23.17,11.585
202,C1846,I2543,SERVENTE,H,0.7,17.14,11.998
203,C1846,I0814,COLA ESPECIAL 'PVA',KG,0.5,14.06,7.03
204,C1846,I1594,PARQUETE DE PEROBA (MADEIRA DE 1A QUALIDADE) DE 12X12CM,M2,1.05,52.76,55.398
205,C1849,C1849,PASTILHAS DE PORCELANA C/ARGAMASSA PRÉ-FABRICADA,FABRICADA ,,,
206,C1849,I1599,PASTILHEIRO,H,0.6,23.17,13.902
207,C1849,I2543,SERVENTE,H,0.7,17.14,11.998
208,C1849,I0119,ARGAMASSA PRE-FABRICADA PARA PASTILHAS,KG,7,2.8,19.6
209,C1849,I0154,ÁCIDO MURIÁTICO,L,0.1,5.44,0.544
210,C1849,I1595,PASTA DE CIMENTO BRANCO,KG,3,3.08,9.24
211,C1849,I1598,PASTILHA DE PORCELANA ESMALTADA,M2,1.02,94.7,96.59400000000001
212,C1849,I1871,SODA CAUSTICA,KG,0.05,12.56,0.628
213,C1848,C1848,PASTA DE CIMENTO COLANTE, KG,,,
214,C1848,I2543,SERVENTE,H,0.007,17.14,0.11998
215,C1848,I0800,CIMENTO COLANTE,KG,0.84,0.7,0.588
216,C1843,C1843,"PAINEL-LAJE DE CONCRETO CELULAR AUTOCLAVADO, C/ DIMENSÕES 10X40X280cm","LAJE DE CONCRETO CELULAR AUTOCLAVADO, C/ DIMENSÕES 10X40X280cm ",,,
217,C1843,I0121,ARMADOR/FERREIRO,H,0.007,23.17,0.16219
218,C1843,I2391,PEDREIRO,H,0.08,23.17,1.8536000000000001
219,C1843,I2543,SERVENTE,H,0.083,17.14,1.42262
220,C1843,I0109,AREIA MEDIA,M3,0.0061,67.5,0.41175
221,C1843,I0163,AÇO CA-50,KG,0.2,9.5,1.9000000000000001
222,C1843,I0800,CIMENTO COLANTE,KG,1.5,0.7,1.05
223,C1843,I0805,CIMENTO PORTLAND,KG,2.43,0.56,1.3608
224,C1843,I1560,PAINEL-LAJE CONCRETO CELULAR 10X40X280CM,M2,1,79.05,79.05
225,C1842,C1842,"PAINEL-COBERTURA DE CONCRETO CELULAR AUTOCLAVADO ARMADO, C/ DIMENSÕES 7,5X40X280cm","COBERTURA DE CONCRETO CELULAR AUTOCLAVADO ARMADO, C/ DIMENSÕES 7,5X40X280cm ",,,
226,C1842,I2391,PEDREIRO,H,0.08,23.17,1.8536000000000001
227,C1842,I2543,SERVENTE,H,0.083,17.14,1.42262
228,C1842,I0109,AREIA MEDIA,M3,0.0061,67.5,0.41175
229,C1842,I0800,CIMENTO COLANTE,KG,1.5,0.7,1.05
230,C1842,I0805,CIMENTO PORTLAND,KG,2.43,0.56,1.3608
231,C1842,I1559,PAINEL-COBERTURA CONCR CELULAR 7.5X40X280CM,M2,1,68.69,68.69
232,C1830,C1830,OURIÇO P/ ALAMBRADO DE PRESÍDIO, M,,,
233,C1830,I0046,AJUDANTE DE SERRALHEIRO,H,0.8,18.63,14.904000000000002
234,C1830,I1858,SERRALHEIRO,H,1.2,23.17,27.804
235,C1830,I0102,ARAME GALVANIZADO N.18 BWG,KG,0.85,22.48,19.108
236,C1830,I1872,SOLDA 50X50,KG,0.35,82.73,28.955499999999997
237,C1838,C1838,PAINEL PROTENDIDO P/PISOS/PAREDES DE VEDAÇÃO ESP.=10cm, M2,,,
238,C1838,I0682,BETONEIRA ELÉTRICA 580L (CHP),H,0.0015,24.420759936,0.036631139904
239,C1838,I0743,GUINDASTE DE TORRE HP 11 (CHP),H,0.04,59.850208380000005,2.3940083352
240,C1838,I2391,PEDREIRO,H,0.01,23.17,0.23170000000000002
241,C1838,I2543,SERVENTE,H,0.13,17.14,2.2282
242,C1838,I0109,AREIA MEDIA,M3,0.0017,67.5,0.11474999999999999
243,C1838,I0805,CIMENTO PORTLAND,KG,1,0.56,0.56
244,C1838,I1553,PAINEL DE CONCRETO PROTENDIDO 10CM,M2,1.01,160.97,162.5797
245,C1838,I1605,PEDRISCO,M3,0.0017,73.9,0.12563
246,C1838,I6802,ADITIVO SUPERPLASTIFICANTE DENSIFICADOR E RETARDADOR DE PEGA,KG,0.008,11.33,0.09064
247,C1837,C1837,PAINEL INFORMATIVO DUPLO C/PORTA DE CORRER EM VIDRO, M2,,,
248,C1837,I0041,AJUDANTE DE CARPINTEIRO,H,1.5,18.63,27.945
249,C1837,I0498,CARPINTEIRO,H,2.5,23.17,57.925
250,C1837,I1530,MONTADOR,H,3,23.17,69.51
251,C1837,I0541,"CHAPA MADEIRA MINERALIZADA, TIPO CELOTEX",M2,2.05,57.36,117.588
252,C1837,I1506,MANTA EM FELTRO P/ REVESTIMENTO,M2,2.25,16.77,37.7325
253,C1837,I2157,TRILHO DE ALUMINIO PARA FORRO DE GESSO,M,4,7.06,28.24
254,C1837,I2255,"VIDRO LISO, E=6MM (COLOCADO)",M2,1.8,217.22,390.99600000000004
255,C1837,I2367,"LINHA DE MADEIRA DE LEI DE 6""x3""",M,2.75,26.78,73.645
256,C1836,C1836,"PAINEL ESTRUTURADO AÇO INOX, ESCOVADO CHAPA 20", M2,,,
257,C1836,I0046,AJUDANTE DE SERRALHEIRO,H,0.8,18.63,14.904000000000002
258,C1836,I1530,MONTADOR,H,1.3,23.17,30.121000000000002
259,C1836,I1858,SERRALHEIRO,H,0.8,23.17,18.536
260,C1836,I1879,SOLDADOR,H,0.65,23.83,15.489500000000001
261,C1836,I0208,BATENTE DE FERRO,M,1.65,19.73,32.5545
262,C1836,I0521,"CHAPA AÇO INOX, ESCOVADO CHAPA 20 (1,0MM - 8,24KG/M2)
",M2,1.15,477.44,549.0559999999999
263,C1836,I1027,DOBRADIÇA 3''X2 1/2'' CROMADA,UN,1,19.67,19.67
264,C1836,I1577,PARAFUSO COM ROSCA SOBERBA 8X50MM,UN,3,0.75,2.25
265,C1836,I1872,SOLDA 50X50,KG,0.35,82.73,28.955499999999997
266,C1839,C1839,PAINEL PROTENDIDO P/PISOS/PAREDES DE VEDAÇÃO ESP.=15cm, M2,,,
267,C1839,I0682,BETONEIRA ELÉTRICA 580L (CHP),H,0.0025,24.420759936,0.06105189984
268,C1839,I0743,GUINDASTE DE TORRE HP 11 (CHP),H,0.028,59.850208380000005,1.67580583464
269,C1839,I2391,PEDREIRO,H,0.01,23.17,0.23170000000000002
270,C1839,I2543,SERVENTE,H,0.09,17.14,1.5426
271,C1839,I0109,AREIA MEDIA,M3,0.0026,67.5,0.1755
272,C1839,I0805,CIMENTO PORTLAND,KG,1,0.56,0.56
273,C1839,I1554,PAINEL DE CONCRETO PROTENDIDO 15CM,M2,1.01,199.55,201.5455
274,C1839,I1605,PEDRISCO,M3,0.0026,73.9,0.19213999999999998
275,C1839,I6802,ADITIVO SUPERPLASTIFICANTE DENSIFICADOR E RETARDADOR DE PEGA,KG,0.014,11.33,0.15862
276,C1861,C1861,PASTILHAS DE PORCELANA EM FAIXAS ATÉ 40cm DE LARGURA C/ARGAMASSA PRÉ-FABRICADA,FABRICADA ,,,
277,C1861,I1599,PASTILHEIRO,H,0.48,23.17,11.121599999999999
278,C1861,I2543,SERVENTE,H,0.56,17.14,9.598400000000002
279,C1861,I0119,ARGAMASSA PRE-FABRICADA PARA PASTILHAS,KG,2.8,2.8,7.84
280,C1861,I0154,ÁCIDO MURIÁTICO,L,0.04,5.44,0.21760000000000002
281,C1861,I1595,PASTA DE CIMENTO BRANCO,KG,1.2,3.08,3.6959999999999997
282,C1861,I1598,PASTILHA DE PORCELANA ESMALTADA,M2,1.02,94.7,96.59400000000001
283,C1861,I1871,SODA CAUSTICA,KG,0.02,12.56,0.2512
284,C1863,C1863,"PEDRA CARIRI ESP.= 2cm, C/ ARGAMASSA MISTA DE CIMENTO CAL HIDRATADA E AREIA", M2,,,
285,C1863,I0044,AJUDANTE DE GRANITEIRO/MARMORISTA,H,0.25,18.63,4.6575
286,C1863,I1227,GRANITEIRO/MAMORISTA,H,0.35,23.17,8.109499999999999
287,C1863,I0108,AREIA GROSSA,M3,0.0304,74.72,2.271488
288,C1863,I0441,CAL HIDRATADA,KG,4.55,1.1,5.005
289,C1863,I0805,CIMENTO PORTLAND,KG,9.13,0.56,5.1128
290,C1863,I1661,PISO PEDRA CARIRI E=2CM,M2,1.05,26.46,27.783
291,C1862,C1862,PAVIMENTAÇÃO RÚSTICA C/CONCRETO P/LASTRO NA ESP.DE 9cm E CAMADA SUPERFICIAL DE  CONCRETO FCK=13.5MPa  NA ESP.DE 3cm, M2,,,
292,C1862,I0682,BETONEIRA ELÉTRICA 580L (CHP),H,0.086,24.420759936,2.100185354496
293,C1862,I2391,PEDREIRO,H,1,23.17,23.17
294,C1862,I2543,SERVENTE,H,4.72,17.14,80.90079999999999
295,C1862,I0109,AREIA MEDIA,M3,0.0886,67.5,5.9805
296,C1862,I0280,BRITA,M3,0.1042,76.19,7.938998
297,C1862,I0805,CIMENTO PORTLAND,KG,27,0.56,15.12
298,C1865,C1865,PEDRA PORTUGUESA  2 CORES, M2,,,
299,C1865,I2391,PEDREIRO,H,1.6,23.17,37.072
300,C1865,I2543,SERVENTE,H,1.25,17.14,21.425
301,C1865,I0108,AREIA GROSSA,M3,0.06,74.72,4.4832
302,C1865,I0805,CIMENTO PORTLAND,KG,5.35,0.56,2.996
303,C1865,I1601,PEDRA PORTUGUESA  BRANCA,M3,0.0405,1056.2,42.7761
304,C1865,I1602,PEDRA PORTUGUESA PRETA/VERMELHA,M3,0.0405,1056.2,42.7761
305,C1864,C1864,PEDRA PORTUGUESA, COR BRANCA ,,,
