Código,Descrição,Unidade,Preço unitário
C2316,TAPUME DE CHAPA DE MADEIRA COMPENSADA E= 6mm C/ABERTURA E PORTÃO,M2,94.84
C3974,"TAPUME DE ESTRUTURA DE MADEIRA C/ FECHAMENTO EM CHAPA DE AÇO GALVANIZADO DE 0,3 mm e ALTURA DE 2 M",M2,158.72
C2317,TAPUME DE TÁBUAS DE 3.ª C/ABERTURA E PORTÃO,M2,104.09
C2318,TAPUME DE TÁBUAS DE 3.ª SOBREPOSTAS,M2,87.67
C4994,"LOCAÇÃO DE CONTÊINER ALMOXARIFADO COM PISO NAVAL - 6,00M X 2,35M",MÊS,627.53
C4995,"LOCAÇÃO DE CONTÊINER BANHEIRO COM 02 VASOS SANITÁRIOS, 01 LAVATÓRIO E 04 CHUVEIROS - 6,00 X 2,35M",MÊS,912.26
C4996,"LOCAÇÃO DE CONTÊINER BANHEIRO COM 04 VASOS SANITÁRIOS, 02 LAVATÓRIOS, 01 MICTÓRIO CALHA E 04 CHUVEIROS - 6,00 X 2,35M",MÊS,1004.06
C4997,"LOCAÇÃO DE CONTÊINER ESCRITÓRIO COM BANHEIRO (01 VASO SANITÁRIO, 01 LAVATÓRIO E 01 CHUVEIRO), JANELA EM VIDRO, PORTAS, LUMINÁRIAS, TOMADAS, FORRO EM PVC, AR CONDICIONADO E ISOLAMENTO TERMO-ACÚSTICO EM ISOPOR - 6,00 X 2,35M",MÊS,860.63
C1630,LOCAÇÃO DA OBRA - EXECUÇÃO DE GABARITO,M2,6.6
C2872,LOCAÇÃO DA OBRA COM AUXÍLIO TOPOGRÁFICO (ÁREA >5000 M2),HA,520.5
C2873,LOCAÇÃO DA OBRA COM AUXÍLIO TOPOGRÁFICO (ÁREA ATÉ 5000 M2),M2,0.28
C2874,LOCAÇÃO DE REDE DE ÁGUA,M,0.26
C0774,LOCAÇÃO DE OBRAS EM MAR,M2,0.44
C0775,LOCAÇÃO DE JAZIDAS EM MAR,M2,0.51
C2875,LOCAÇÃO E NIVELAMENTO DE ADUTORA,M,1.68
C2876,LOCAÇÃO E NIVELAMENTO DE REDE DE ESGOTO/EMISSÁRIO/DRENAGEM,M,2.29
C3528,MUTIRÃO MISTO - LOCAÇÃO DA OBRA - EXECUÇÃO DE GABARITO,M2,4.38
C2992,DEMOLIÇÃO DE ALVENARIA DE PEDRA COM REMOÇÃO LATERAL,M3,173.32
C1042,DEMOLIÇÃO DE ALVENARIA DE TIJOLOS  C/ REAPROVEITAMENTO,M3,116.74
C1043,DEMOLIÇÃO DE ALVENARIA DE TIJOLOS S/ REAPROVEITAMENTO,M3,58.37
C1044,DEMOLIÇÃO DE CALHAS,M,21.77
C1045,DEMOLIÇÃO DE COBERTURA C/TELHAS CERÂMICAS,M2,11.67
C1046,DEMOLIÇÃO DE COBERTURA C/TELHAS ONDULADAS DE FIBROCIMENTO,M2,4.86
C1047,DEMOLIÇÃO DE COBOGÓS,M2,32.66
C1048,DEMOLIÇÃO DE CONCRETO ARMADO C/MARTELETE PNEUMÁTICO,M3,476.16
C1049,DEMOLIÇÃO DE CONCRETO SIMPLES,M3,252.94
C1058,DEMOLIÇÃO DE DEGRAUS DE PEDRA,M,31.13
C1050,DEMOLIÇÃO DE DIVISÓRIA LEVE,M2,28.73
C1051,DEMOLIÇÃO DE DIVISÓRIA OUTRAS (PRÉ MOLDADO),M2,36.26
C1052,DEMOLIÇÃO DE ESTRUTURA DE MADEIRA P/TELHADOS,M2,27.23
C1053,DEMOLIÇÃO DE ESTRUTURA METÁLICA,M2,32.86
C1054,DEMOLIÇÃO DE FORRO DE PVC,M2,14.59
C1055,DEMOLIÇÃO DE FORRO DE TÁBUAS DE PINHO,M2,6.28
C1056,DEMOLIÇÃO DE FORRO DE GESSO,M2,3.69
C1057,DEMOLIÇÃO DE FORRO PACOTE,M2,9.73
C2993,DEMOLIÇÃO DE FORRO DE LAMBRI,M2,6.28
C1061,DEMOLIÇÃO DE LOUÇA SANITÁRIA,UN,19.46
C1062,DEMOLIÇÃO DE PAVIMENTAÇÃO ASFÁLTICA C/MARTELETE PNEUMÁTICO,M2,19.73
C1063,DEMOLIÇÃO DE PÉRGOLAS OU BRISES,M3,252.94
C1064,DEMOLIÇÃO DE PISO CERÂMICO,M2,13.62
C1065,DEMOLIÇÃO DE PISO CERÂMICO SOBRE LASTRO DE CONCRETO,M2,27.24
C1066,DEMOLIÇÃO DE PISO CIMENTADO SOBRE LASTRO DE CONCRETO,M2,25.29
C2716,DEMOLIÇÃO DE PISO DE LADRILHO,M2,17.14
C1067,DEMOLIÇÃO DE PISO DE TÁBUAS DE PEROBA,M2,18.85
C1068,DEMOLIÇÃO DE PISO E VIGAS DE MADEIRA,M2,25.14
C1069,DEMOLIÇÃO DE PISO INDUSTRIAL,M2,51.89
C1070,DEMOLIÇÃO DE REVESTIMENTO C/ARGAMASSA,M2,9.73
C1071,DEMOLIÇÃO DE REVESTIMENTO C/AZULEJOS,M2,48.64
C1074,DEMOLIÇÃO DE REVESTIMENTO C/CERÂMICAS,M2,48.64
C1072,DEMOLIÇÃO DE REVESTIMENTO C/LAMBRIS,M2,48.64
C1073,DEMOLIÇÃO DE REVESTIMENTO C/ PEDRAS NATURAIS,M2,56.17
C1075,DEMOLIÇÃO DE SARJETA OU SARJETÃO DE CONCRETO,M2,15.57
C1076,"DEMOLIÇÃO DE SOLEIRAS, PEITORIS E DEGRAUS",M,25.29
C1077,DEMOLIÇÃO DE VIGAS DE FERRO,KG,0.3
C3064,DEMOLIÇÃO E REMOÇÃO MANUAL DE PAVIMENTO EM PARALELEPIPEDO E POLIÉDRICO,M2,8.57
C3063,DEMOLIÇÃO E REMOÇÃO DE PAREDES DE TAIPA,M2,28.57
C2717,DEMOLIÇÃO MANUAL DE CONCRETO ARMADO,M3,466.97
C3103,REMOÇÃO DE BUEIROS EXISTENTES,M,137.12
C3104,REMOÇÃO DE CERCAS,M,0.43
C2197,REMOÇÃO DE PINTURA ANTIGA A CAL,M2,3.43
C2198,REMOÇÃO DE PINTURA ANTIGA À TEMPERA,M2,5.14
C4914,REMOÇÃO DE PINTURA À ÓLEO OU ESMALTE,M2,13.19
C4913,REMOÇÃO DE PINTURA LÁTEX (RASPAGEM E/OU LIXAMENTO E/OU ESCOVAÇÃO),M2,6.86
C3038,RETIRADA DE CAIXA DE AR CONDICIONADO,UN,80.62
C3039,RETIRADA DE CARPETE S/REAPROVEITAMENTO,M2,4.29
C3376,RETIRADA DE COLETOR EM CONCRETO ATÉ 400mm,M,38.36
C2206,RETIRADA DE ESQUADRIAS METÁLICAS,M2,9.73
C3040,RETIRADA DE GRADE DE FERRO,M2,8.06
C2207,RETIRADA DE GUIAS PRÉ FABRICADAS DE CONCRETO,M,9.73
C3373,RETIRADA DE MEIO FIO DE PEDRA GRANÍTICA,M,9.73
C2938,RETIRADA DE PAVIMENTAÇÃO ASFÁLTICA COM BASE EM PEDRA,M2,28.66
C2939,RETIRADA DE PAVIMENTAÇÃO EM BLOCO DE CONCRETO,M2,11.14
C3041,RETIRADA DE PAVIMENTAÇÃO EM BLOKRET C/ REMOÇÃO LATERAL,M2,11.67
C2940,RETIRADA DE PAVIMENTAÇÃO EM PARALELEPÍPEDO OU PEDRA TOSCA,M2,10.28
C2941,RETIRADA DE PAVIMENTAÇÃO EM PASSEIO CIMENTADO,M2,17.14
C2942,RETIRADA DE PAVIMENTAÇÃO EM PEDRA PORTUGUESA,M2,8.57
C2209,RETIRADA DE PISO PAVIFLEX,M2,10.89
C2210,"RETIRADA DE PORTAS E JANELAS, INCLUSIVE BATENTES",M2,15.57
C3047,RETIRADA DE TUBO PVC ENTERRADO DN=50mm,M,7.86
C3048,RETIRADA DE TUBO PVC ENTERRADO DN=75mm,M,9.72
C3049,RETIRADA DE TUBO PVC ENTERRADO DN=85mm,M,10.66
C3042,RETIRADA DE TUBO PVC ENTERRADO DN=100mm,M,11.59
C3043,RETIRADA DE TUBO PVC ENTERRADO DN=150mm,M,15.72
C3044,RETIRADA DE TUBO PVC ENTERRADO DN=200mm,M,21.72
C3045,RETIRADA DE TUBO PVC ENTERRADO DN=250mm,M,25.45
C3046,RETIRADA DE TUBO PVC ENTERRADO DN=300mm,M,33.31
C3054,RETIRADA DE TUBOS DE CONCRETO D=30cm,M,33.02
C3055,RETIRADA DE TUBOS DE CONCRETO D=40cm,M,41.97
C3056,RETIRADA DE TUBOS DE CONCRETO D=50cm,M,55.04
C3057,RETIRADA DE TUBOS DE CONCRETO D=60cm,M,70.88
C3050,RETIRADA DE TUBOS DE CONCRETO D=80cm,M,101.85
C3051,RETIRADA DE TUBOS DE CONCRETO D=100cm,M,174.37
C3052,RETIRADA DE TUBOS DE CONCRETO D=120cm,M,246.93
C3053,RETIRADA DE TUBOS DE CONCRETO D=150cm,M,361.19
C3377,RETIRADA DE TUBOS E CONEXÕES EM PVC JE DN 50MM,M,2.57
C3378,RETIRADA DE TUBOS E CONEXÕES EM PVC JE DN 75MM,M,3.03
C3379,RETIRADA DE TUBOS E CONEXÕES EM PVC JE DN 100MM,M,4.08
C3380,RETIRADA DE TUBOS E CONEXÕES EM PVC JE DN 125MM,M,5.1
C3381,RETIRADA DE TUBOS E CONEXÕES EM PVC JE DN 150MM,M,5.85
C3382,RETIRADA DE TUBOS E CONEXÕES EM PVC JE DN 200MM,M,7.65
C3383,RETIRADA DE TUBOS E CONEXÕES EM PVC JE DN 250MM,M,8.83
C3384,RETIRADA DE TUBOS E CONEXÕES EM PVC JE DN 300MM,M,12.19
C3385,RETIRADA DE TUBOS E CONEXÕES EM PVC JE DN 350MM,M,13.5
C3386,RETIRADA DE TUBOS E CONEXÕES EM PVC JE DN 400MM,M,15.25
C3387,"RETIRADA DE TUBOS, PEÇAS E CONEXÕES EM FoFo JE DN 50MM",M,6.18
C3388,"RETIRADA DE TUBOS, PEÇAS E CONEXÕES EM FoFo JE DN 75MM",M,7.48
C3389,"RETIRADA DE TUBOS, PEÇAS E CONEXÕES EM FoFo JE DN 100MM",M,12.36
C3390,"RETIRADA DE TUBOS, PEÇAS E CONEXÕES EM FoFo JE DN 150MM",M,16.97
C3391,"RETIRADA DE TUBOS, PEÇAS E CONEXÕES EM FoFo JE DN 200MM",M,19.52
C3392,"RETIRADA DE TUBOS, PEÇAS E CONEXÕES EM FoFo JE DN 250MM",M,23.95
C3393,"RETIRADA DE TUBOS, PEÇAS E CONEXÕES EM FoFo JE DN 300MM",M,30.35
C3394,"RETIRADA DE TUBOS, PEÇAS E CONEXÕES EM FoFo JE DN 350MM",M,36.04
C3395,"RETIRADA DE TUBOS, PEÇAS E CONEXÕES EM FoFo JE DN 400MM",M,41.25
C3396,"RETIRADA DE TUBOS, PEÇAS E CONEXÕES EM FoFo JE DN 450MM",M,52.55
C3397,"RETIRADA DE TUBOS, PEÇAS E CONEXÕES EM FoFo JE DN 500MM",M,63.68
C3398,"RETIRADA DE TUBOS, PEÇAS E CONEXÕES EM FoFo JE DN 600MM",M,73.28
C3399,"RETIRADA DE TUBOS, PEÇAS E CONEXÕES EM FoFo JE DN 700MM",M,95.11
C2211,RETIRADA DE VIDROS C/ REAPROVEITAMENTO,M2,42.44
C0375,BARREIRA DE CONCRETO (NEW JERSEY) SIMPLES,M,337.84
C2891,PASSADIÇOS COM CHAPAS DE AÇO,M2,12.08
C2892,PASSADIÇOS COM PRANCHAS DE MADEIRA,M2,47.59
C2947,SINALIZAÇÃO DE ADVERTÊNCIA,UN,13.32
C2948,SINALIZAÇÃO DE TRÂNSITO COM BARREIRAS,M,5.57
C2949,SINALIZAÇÃO DE TRÂNSITO NOTURNA,M,2.77
C2950,SINALIZAÇÃO EM TAPUME COM INDICATIVO DE FLUXO,M2,7.39
C2978,SINALIZAÇÃO EM TAPUME DE PROTEÇÃO COM CHAPAS COMPENSADAS E= 12mm,M,4.96
C5011,ESCAVAÇÃO DE MATERIAL DE 3ª CATEGORIA COM ESCAVADEIRA E ROMPEDOR HIDRÁULICO DE 1700KG,M3,39.97
C2779,"ESCAVAÇÃO EM S.Q.N SATURADO, PROF.2.0 a 12.0m (POÇO AMAZONAS)",M3,194.02
C1263,ESCAVAÇÃO MANUAL CAMPO ABERTO EM ROCHA C/EXPLOS.PERF.MAN. ATÉ 2M,M3,367.11
C1260,"ESCAVAÇÃO MANUAL CAMPO ABERTO EM ROCHA C/EXPLOS.PERF.MAN. - 2,01 A 4,00M",M3,390.25
C1261,"ESCAVAÇÃO MANUAL CAMPO ABERTO EM ROCHA C/EXPLOS.PERF.MAN. - 4,01 A 6,00M",M3,413.39
C1262,"ESCAVAÇÃO MANUAL CAMPO ABERTO EM ROCHA C/EXPLOS.PERF.MAN. - 6,01 A 8,00M",M3,436.53
C1266,ESCAVAÇÃO MANUAL CAMPO ABERTO EM ROCHA C/EXPLOS.PERF.MEC. ATÉ 2M,M3,283.96
C1264,"ESCAVAÇÃO MANUAL CAMPO ABERTO EM ROCHA C/EXPLOS.PERF.MEC. - 2,01 A 4,00M",M3,307.7
C1265,"ESCAVAÇÃO MANUAL CAMPO ABERTO EM ROCHA C/EXPLOS.PERF.MEC. - 4,01 A 6,00M",M3,331.42
C1254,"ESCAVAÇÃO MANUAL CAMPO ABERTO EM ROCHA C/EXPLOS.PERF.MEC. - 6,01 A 8,00M",M3,355.15
C1256,ESCAVAÇÃO MANUAL CAMPO ABERTO EM TERRA ATÉ 2M,M3,50.22
C1257,"ESCAVAÇÃO MANUAL CAMPO ABERTO EM TERRA, DE 2,01 A 4,00M",M3,59.82
C1258,"ESCAVAÇÃO MANUAL CAMPO ABERTO EM TERRA, DE 4,00 A 6,00M",M3,69.42
C1259,"ESCAVAÇÃO MANUAL CAMPO ABERTO EM TERRA, DE 6,00 A 8,00M",M3,80.04
C1267,ESCAVAÇÃO MECAN. CAMPO ABERTO EM TERRA EXCETO ROCHA ATÉ 2M,M3,2.42
C1268,ESCAVAÇÃO MECAN. CAMPO ABERTO EM TERRA EXCETO ROCHA ATÉ 4M,M3,2.79
C1269,ESCAVAÇÃO MECAN. CAMPO ABERTO EM TERRA EXCETO ROCHA ATÉ 6M,M3,3.42
C1270,ESCAVAÇÃO MECAN. CAMPO ABERTO EM TERRA EXCETO ROCHA ATÉ 8M,M3,4.05
C4899,ESCAVAÇÃO MECANIZADA CAMPO ABERTO EM TERRA EXCETO ROCHA ATÉ 10M,M3,5.07
C3208,ESCAVAÇÃO E CARGA DE MATERIAL 1-CAT.,M3,5.64
C3209,ESCAVAÇÃO E CARGA DE MATERIAL 2-CAT.,M3,7.69
C3210,ESCAVAÇÃO E CARGA DE MATERIAL 3-CAT.,M3,41.02
C3212,ESCAVAÇÃO E CARGA DE SOLO MOLE,M3,10.43
C2797,ESCAVAÇÃO SUBMERSA (DRAGAGEM),M3,43.89
C0702,CARGA MANUAL DE ENTULHO EM CAMINHÃO BASCULANTE,M3,23.68
C0706,CARGA MANUAL DE ROCHA EM CAMINHÃO BASCULANTE,M3,24.67
C0707,CARGA MANUAL DE TERRA EM CAMINHÃO BASCULANTE,M3,19.73
C0708,CARGA MECANIZADA DE ENTULHO EM CAMINHÃO BASCULANTE,M3,3.51
C0709,CARGA MECANIZADA DE ROCHA EM CAMINHÃO BASCULANTE,M3,3.75
C0710,CARGA MECANIZADA DE TERRA EM CAMINHÃO BASCULANTE,M3,3.31
C2987,COMPLEMENTAÇÃO DE TRANSPORTE EM CAMINHÃO BASCULANTE,M3xKM,1.02
C2529,"TRANSPORTE DE MATERIAL, EXCETO ROCHA EM CAMINHÃO ATÉ 0.5 KM",M3,4.41
C2531,"TRANSPORTE DE MATERIAL, EXCETO ROCHA EM CAMINHÃO ATÉ 1KM",M3,4.9
C2533,"TRANSPORTE DE MATERIAL, EXCETO ROCHA EM CAMINHÃO ATÉ 5 KM",M3,24.54
C2530,"TRANSPORTE DE MATERIAL, EXCETO ROCHA EM CAMINHÃO ATÉ 10KM",M3,29.45
C2532,"TRANSPORTE DE MATERIAL, EXCETO ROCHA EM CAMINHÃO ATÉ 20KM",M3,44.17
C2536,TRANSPORTE HORIZONTAL ATÉ 30M DE MATERIAIS À GRANEL,M3,42.85
C2537,"TRANSPORTE HORIZONTAL DE 30,00 ATÉ 60,00M DE MATERIAIS À GRANEL",M3,53.13
C2535,"TRANSPORTE HORIZONTAL DE 60,01 ATÉ 100,00M DE MATERIAIS À GRANEL",M3,70.27
C2538,TRANSPORTE VERTICAL DE MATERIAIS À GRANEL P/ A 1A LAJE,M3,30.85
C2539,TRANSPORTE VERTICAL DE MATERIAIS À GRANEL P/ A 2A LAJE,M3,73.7
C3131,ARRASAMENTO ATERRO (ESCALONAMENTO) DMT ATÉ 50M,M3,6
C3182,ESCAVAÇÃO CARGA TRANSP. 1-CAT ATÉ 200M,M3,8.48
C3178,ESCAVAÇÃO CARGA TRANSP. 1-CAT 201 A 400M,M3,9.39
C3180,ESCAVAÇÃO CARGA TRANSP. 1-CAT 401 A 600M,M3,9.9
C3169,ESCAVACAO CARGA TRANSP. 1-CAT 601 A 800M,M3,10.89
C3181,ESCAVAÇÃO CARGA TRANSP. 1-CAT 801 A 1000M,M3,11.45
C3175,ESCAVAÇÃO CARGA TRANSP. 1-CAT 1001 A 1200M,M3,11.67
C3165,ESCAVACÃO CARGA TRANSP. 1-CAT 1201 A 1400M,M3,12.64
C3176,ESCAVAÇÃO CARGA TRANSP. 1-CAT 1401 A 1600M,M3,13.12
C3177,ESCAVAÇÃO CARGA TRANSP. 1-CAT 1601 A 1800M,M3,14.03
C3166,ESCAVAÇÃO CARGA TRANSP. 1-CAT 1801 A 2000M,M3,14.55
C3167,ESCAVAÇÃO CARGA TRANSP. 1-CAT 2001 A 3000M,M3,14.94
C3168,ESCAVAÇÃO CARGA TRANSP. 1-CAT 3001 A 4000M,M3,17.17
C3179,ESCAVAÇÃO CARGA TRANSP. 1-CAT 4001 A 5000M,M3,19.1
C3192,ESCAVAÇÃO CARGA TRANSP. 2-CAT ATÉ 200M,M3,11.2
C3187,ESCAVAÇÃO CARGA TRANSP. 2-CAT 201 A 400M,M3,11.66
C3189,ESCAVAÇÃO CARGA TRANSP. 2-CAT 401 A 600M,M3,12.95
C3190,ESCAVAÇÃO CARGA TRANSP. 2-CAT 601 A 800M,M3,13.5
C3191,ESCAVAÇÃO CARGA TRANSP. 2-CAT 801 A 1000M,M3,14.09
C3170,ESCAVAÇÃO CARGA TRANSP. 2-CAT 1001 A 1200M,M3,15.07
C3183,ESCAVAÇÃO CARGA TRANSP. 2-CAT 1201 A 1400M,M3,15.62
C3184,ESCAVAÇÃO CARGA TRANSP. 2-CAT 1401 A 1600M,M3,16.17
C3185,ESCAVAÇÃO CARGA TRANSP. 2-CAT 1601 A 1800M,M3,17.37
C3186,ESCAVAÇÃO CARGA TRANSP. 2-CAT 1801 A 2000M,M3,17.91
C3171,ESCAVAÇÃO CARGA TRANSP. 2-CAT 2001 A 3000M,M3,18.36
C3188,ESCAVAÇÃO CARGA TRANSP. 2-CAT 3001 A 4000M,M3,20.5
C3172,ESCAVAÇÃO CARGA TRANSP. 2-CAT 4001 A 5000M,M3,22.84
C3205,ESCAVAÇÃO CARGA TRANSP. 3-CAT ATÉ 50M,M3,40.37
C3202,ESCAVAÇÃO CARGA TRANSP. 3-CAT 51 A 100M,M3,46.36
C3194,ESCAVAÇÃO CARGA TRANSP. 3-CAT 101 A 200M,M3,46.55
C3200,ESCAVAÇÃO CARGA TRANSP. 3-CAT 201 A 400M,M3,47.11
C3201,ESCAVAÇÃO CARGA TRANSP. 3-CAT 401 A 600M,M3,47.91
C3203,ESCAVAÇÃO CARGA TRANSP. 3-CAT 601 A 800M,M3,49.88
C3204,ESCAVAÇÃO CARGA TRANSP. 3-CAT 801 A 1000M,M3,50.66
C3193,ESCAVAÇÃO CARGA TRANSP. 3-CAT 1001 A 1200M,M3,51.01
C3195,ESCAVAÇÃO CARGA TRANSP. 3-CAT 1201 A 1400M,M3,52.83
C3196,ESCAVAÇÃO CARGA TRANSP. 3-CAT 1401 A 1600M,M3,53.58
C3197,ESCAVAÇÃO CARGA TRANSP. 3-CAT 1601 A 1800M,M3,54.24
C3198,ESCAVAÇÃO CARGA TRANSP. 3-CAT 1801 A 2000M,M3,55
C3199,ESCAVAÇÃO CARGA TRANSP. 3-CAT 2001 A 3000M,M3,56.73
C3173,ESCAVAÇÃO CARGA TRANSP. 3-CAT 3001 A 4000M,M3,59.73
C3174,ESCAVAÇÃO CARGA TRANSP. 3-CAT 4001 A 5000M,M3,61.84
C3280,ESCAVAÇÃO DE BASE DE TUBULÃO A AR COMPRIMIDO ATÉ 12M,M3,806.96
C3281,"ESCAVAÇÃO DE BASE DE TUBULÃO A AR COMPRIMIDO DE 12,00 A 18M",M3,903.79
C3282,ESCAVAÇÃO DE BASE DE TUBULÃO A CEU ABERTO,M3,544.71
C2777,ESCAVAÇÃO DE MATERIAL DE 3A. CAT A FOGO,M3,178.14
C3206,ESCAVAÇÃO DE POÇO TUBULÃO A AR COMPRIMIDO C/ DESCIDA DE CAMISA DE CONCRETO ARMADO ATÉ 12m,M3,774.54
C3213,"ESCAVAÇÃO DE POÇO TUBULÃO A AR COMPRIMIDO C/DESCIDA DE CAMISA DE CONCRETO ARMADO 12,01 A 18,00M",M3,866.02
C3207,ESCAVAÇÃO DE POÇO TUBULÃO A CEU ABERTO  C/ DESCIDA DE CAMISA DE CONCRETO ARMADO,M3,432.68
C5012,ESCAVAÇÃO DE VALA EM MATERIAL DE 3ª CATEGORIA COM ESCAVADEIRA E ROMPEDOR HIDRÁULICO DE 1700KG,M3,59.96
C5177,ESCAVAÇÃO EM ROCHA BRANDA A FRIO COM ESCAVADEIRA HIDRÁULICA E ROMPEDOR ACOPLADO,M3,226.51
C1255,ESCAVAÇÃO MANUAL C/ APIL. FUNDO P/ CAIXA EM ALVENARIA,M3,79.36
C2784,ESCAVAÇÃO MANUAL SOLO DE 1A.CAT. PROF. ATÉ 1.50m,M3,45.42
C2781,ESCAVAÇÃO MANUAL SOLO DE 1A CAT. PROF. DE 1.51 a 3.00m,M3,59.99
C2782,ESCAVAÇÃO MANUAL SOLO DE 1A CAT. PROF. DE 3.01 a 4.50m,M3,70.27
C2783,ESCAVAÇÃO MANUAL SOLO DE 1A CAT. PROF. DE 4.51 a 6.00m,M3,82.27
C2785,ESCAVAÇÃO MANUAL SOLO DE 2A CAT. PROF. ATÉ 1.50m,M3,59.99
C2786,ESCAVAÇÃO MANUAL SOLO DE 2A CAT. PROF. DE 1.51 a 3.00m,M3,90.67
C2787,ESCAVAÇÃO MANUAL SOLO DE 2A CAT. PROF. DE 3.01 a 4.50m,M3,121.35
C2788,ESCAVAÇÃO MANUAL SOLO DE 2A CAT. PROF. DE 4.51 a 6.00m,M3,152.2
